species,factor,value,score
Sequoia sempervirens C,smr,4,1
Sequoia sempervirens C,smr,5,1
Sequoia sempervirens C,smr,6,0.65
Sequoia sempervirens C,smr,7,NA
Sequoia sempervirens C,smr,8,NA
Alnus rubra,smr,0,0.3
Alnus rubra,smr,1,0.5
Alnus rubra,smr,2,0.85
Alnus rubra,smr,3,1.1
Alnus rubra,smr,4,1.1
Alnus rubra,smr,5,1.05
Alnus rubra,smr,6,0.75
Alnus rubra,smr,7,0
Alnus rubra,smr,8,NA
Alnus cordata,smr,0,NA
Alnus cordata,smr,1,NA
Alnus cordata,smr,2,0.65
Alnus cordata,smr,3,0.95
Alnus cordata,smr,4,1.1
Alnus cordata,smr,5,1.1
Alnus cordata,smr,6,1
Alnus cordata,smr,7,0.6
Alnus cordata,smr,8,NA
Alnus incana,smr,0,0.2
Alnus incana,smr,1,0.5
Alnus incana,smr,2,0.85
Alnus incana,smr,3,1.2
Alnus incana,smr,4,1.1
Alnus incana,smr,5,1
Alnus incana,smr,6,0.75
Alnus incana,smr,7,NA
Alnus incana,smr,8,NA
Eucalyptus gunnii,smr,0,NA
Eucalyptus gunnii,smr,1,NA
Eucalyptus gunnii,smr,2,0.6
Eucalyptus gunnii,smr,3,0.9
Eucalyptus gunnii,smr,4,1.1
Eucalyptus gunnii,smr,5,1
Eucalyptus gunnii,smr,6,0.7
Eucalyptus gunnii,smr,7,NA
Eucalyptus gunnii,smr,8,NA
Euclayptus nitens,smr,0,NA
Euclayptus nitens,smr,1,NA
Euclayptus nitens,smr,2,0
Euclayptus nitens,smr,3,0.6
Euclayptus nitens,smr,4,1
Euclayptus nitens,smr,5,1.1
Euclayptus nitens,smr,6,0.6
Euclayptus nitens,smr,7,NA
Euclayptus nitens,smr,8,NA
Nothofagus obliqua,smr,0,NA
Nothofagus obliqua,smr,1,NA
Nothofagus obliqua,smr,2,0
Nothofagus obliqua,smr,3,0.5
Nothofagus obliqua,smr,4,0.8
Nothofagus obliqua,smr,5,1.1
Nothofagus obliqua,smr,6,1.1
Nothofagus obliqua,smr,7,0.6
Nothofagus obliqua,smr,8,NA
Quercus rubra,smr,0,NA
Quercus rubra,smr,1,NA
Quercus rubra,smr,2,NA
Quercus rubra,smr,3,0.6
Quercus rubra,smr,4,1
Quercus rubra,smr,5,1
Quercus rubra,smr,6,0.73
Quercus rubra,smr,7,0.5
Quercus rubra,smr,8,0.2
Acer macrophyllum,smr,0,NA
Acer macrophyllum,smr,1,NA
Acer macrophyllum,smr,2,NA
Acer macrophyllum,smr,3,0.65
Acer macrophyllum,smr,4,1
Acer macrophyllum,smr,5,1
Acer macrophyllum,smr,6,0.65
Acer macrophyllum,smr,7,0
Acer macrophyllum,smr,8,NA
Sorbus aucuparia,smr,0,NA
Sorbus aucuparia,smr,1,NA
Sorbus aucuparia,smr,2,NA
Sorbus aucuparia,smr,3,0.6
Sorbus aucuparia,smr,4,0.95
Sorbus aucuparia,smr,5,1.1
Sorbus aucuparia,smr,6,1
Sorbus aucuparia,smr,7,0.6
Sorbus aucuparia,smr,8,NA
Sorbus torminalis,smr,0,0
Sorbus torminalis,smr,1,NA
Sorbus torminalis,smr,2,NA
Sorbus torminalis,smr,3,0.3
Sorbus torminalis,smr,4,0.65
Sorbus torminalis,smr,5,1.1
Sorbus torminalis,smr,6,1.1
Sorbus torminalis,smr,7,0.65
Sorbus torminalis,smr,8,NA
Sorbus domestica,smr,0,NA
Sorbus domestica,smr,1,NA
Sorbus domestica,smr,2,NA
Sorbus domestica,smr,3,NA
Sorbus domestica,smr,4,0.65
Sorbus domestica,smr,5,1
Sorbus domestica,smr,6,1
Sorbus domestica,smr,7,0.7
Sorbus domestica,smr,8,0.5
Juglans regia,smr,0,NA
Juglans regia,smr,1,NA
Juglans regia,smr,2,NA
Juglans regia,smr,3,NA
Juglans regia,smr,4,0.65
Juglans regia,smr,5,1
Juglans regia,smr,6,1
Juglans regia,smr,7,0.5
Juglans regia,smr,8,NA
Juglans nigra,smr,0,NA
Juglans nigra,smr,1,NA
Juglans nigra,smr,2,NA
Juglans nigra,smr,3,NA
Juglans nigra,smr,4,0.65
Juglans nigra,smr,5,1.2
Juglans nigra,smr,6,0.65
Juglans nigra,smr,7,NA
Juglans nigra,smr,8,NA
Picea sitchensis,snr,0,0.1
Picea sitchensis,snr,1,0.5
Picea sitchensis,snr,2,0.75
Picea sitchensis,snr,3,1
Picea sitchensis,snr,4,1
Picea sitchensis,snr,5,0.75
Picea sitchensis,snr,6,0
Picea abies,snr,0,0
Picea abies,snr,1,0.3
Picea abies,snr,2,0.5
Picea abies,snr,3,0.75
Picea abies,snr,4,1.1
Picea abies,snr,5,0.75
Picea abies,snr,6,0
Pinus sylvestris,snr,0,0.3
Pinus sylvestris,snr,1,0.5
Pinus sylvestris,snr,2,0.75
Pinus sylvestris,snr,3,1
Pinus sylvestris,snr,4,1.1
Pinus sylvestris,snr,5,1.1
Pinus sylvestris,snr,6,1
Pinus nigra ssp. Laricio,snr,0,0.3
Pinus nigra ssp. Laricio,snr,1,0.5
Pinus nigra ssp. Laricio,snr,2,0.75
Pinus nigra ssp. Laricio,snr,3,1
Pinus nigra ssp. Laricio,snr,4,1
Pinus nigra ssp. Laricio,snr,5,0.75
Pinus nigra ssp. Laricio,snr,6,0
Pinus contorta,snr,0,0.5
Pinus contorta,snr,1,1.1
Pinus contorta,snr,2,1.05
Pinus contorta,snr,3,0.75
Pinus contorta,snr,4,0.5
Pinus contorta,snr,5,0.3
Pinus contorta,snr,6,0.2
Pinus peuce,snr,0,0
Pinus peuce,snr,1,0.5
Pinus peuce,snr,2,0.9
Pinus peuce,snr,3,1.2
Pinus peuce,snr,4,0.75
Pinus peuce,snr,5,0.5
Pinus peuce,snr,6,0
Larix decidua,snr,0,0
Larix decidua,snr,1,0.3
Larix decidua,snr,2,0.5
Larix decidua,snr,3,0.8
Larix decidua,snr,4,1.2
Larix decidua,snr,5,0.6
Larix decidua,snr,6,0
Larix kaempferi,snr,0,0.2
Larix kaempferi,snr,1,0.5
Larix kaempferi,snr,2,0.8
Larix kaempferi,snr,3,1
Larix kaempferi,snr,4,1
Larix kaempferi,snr,5,0.8
Larix kaempferi,snr,6,0
Larix eurolepsis,snr,0,0.3
Larix eurolepsis,snr,1,0.5
Larix eurolepsis,snr,2,0.75
Larix eurolepsis,snr,3,1
Larix eurolepsis,snr,4,1
Larix eurolepsis,snr,5,0.7
Larix eurolepsis,snr,6,0.1
Pseudotsuga menziesii,snr,0,NA
Pseudotsuga menziesii,snr,1,0.4
Pseudotsuga menziesii,snr,2,0.7
Pseudotsuga menziesii,snr,3,1
Pseudotsuga menziesii,snr,4,1
Pseudotsuga menziesii,snr,5,0.7
Pseudotsuga menziesii,snr,6,0
Abies procera,snr,0,0
Abies procera,snr,1,0.3
Abies procera,snr,2,0.6
Abies procera,snr,3,1.1
Abies procera,snr,4,1
Abies procera,snr,5,0.7
Abies procera,snr,6,0
Abies amabilis,snr,0,0.1
Abies amabilis,snr,1,0.3
Abies amabilis,snr,2,0.8
Abies amabilis,snr,3,1.1
Abies amabilis,snr,4,1.1
Abies amabilis,snr,5,0.8
Abies amabilis,snr,6,NA
Tsuga heterophyla,snr,0,0.3
Tsuga heterophyla,snr,1,0.6
Tsuga heterophyla,snr,2,0.9
Tsuga heterophyla,snr,3,1.1
Tsuga heterophyla,snr,4,0.7
Tsuga heterophyla,snr,5,0
Tsuga heterophyla,snr,6,NA
Thuja plicata,snr,0,0
Thuja plicata,snr,1,0.55
Thuja plicata,snr,2,1
Thuja plicata,snr,3,1.1
Thuja plicata,snr,4,1.1
Thuja plicata,snr,5,1
Thuja plicata,snr,6,0.7
Sequoia sempervirens A1,snr,0,0
Sequoia sempervirens A1,snr,1,0
Sequoia sempervirens A1,snr,2,0.6
Sequoia sempervirens A1,snr,3,1
Sequoia sempervirens A1,snr,4,1
Sequoia sempervirens A1,snr,5,1
Sequoia sempervirens A1,snr,6,0
Master,snr,0,0
Master,snr,1,NA
Master,snr,2,NA
Master,snr,3,NA
Master,snr,4,NA
Master,snr,5,NA
Master,snr,6,1
Quercus robur,snr,0,0
Quercus robur,snr,1,0.2
Quercus robur,snr,2,0.6
Quercus robur,snr,3,0.9
Quercus robur,snr,4,1.1
Quercus robur,snr,5,1
Quercus robur,snr,6,0
Quercus petraea,snr,0,0
Quercus petraea,snr,1,0.2
Quercus petraea,snr,2,0.6
Quercus petraea,snr,3,1
Quercus petraea,snr,4,1
Quercus petraea,snr,5,0.6
Quercus petraea,snr,6,0
Fagus sylvatica,snr,0,NA
Fagus sylvatica,snr,1,0
Fagus sylvatica,snr,2,0.7
Fagus sylvatica,snr,3,0.95
Fagus sylvatica,snr,4,1.1
Fagus sylvatica,snr,5,1
Fagus sylvatica,snr,6,0.7
Fraxinus excelsior,snr,0,NA
Fraxinus excelsior,snr,1,NA
Fraxinus excelsior,snr,2,NA
Fraxinus excelsior,snr,3,0.6
Fraxinus excelsior,snr,4,1
Fraxinus excelsior,snr,5,1
Fraxinus excelsior,snr,6,1
Acer pseudoplatanus,snr,0,NA
Acer pseudoplatanus,snr,1,0
Acer pseudoplatanus,snr,2,0.5
Acer pseudoplatanus,snr,3,0.75
Acer pseudoplatanus,snr,4,1
Acer pseudoplatanus,snr,5,1
Acer pseudoplatanus,snr,6,0.6
Ulmus glabra,snr,0,0
Ulmus glabra,snr,1,NA
Ulmus glabra,snr,2,0
Ulmus glabra,snr,3,0.6
Ulmus glabra,snr,4,1
Ulmus glabra,snr,5,1
Ulmus glabra,snr,6,0
Castanea sativa,snr,0,NA
Castanea sativa,snr,1,0
Castanea sativa,snr,2,0.6
Castanea sativa,snr,3,1
Castanea sativa,snr,4,1
Castanea sativa,snr,5,0.6
Castanea sativa,snr,6,NA
Betula pendula,snr,0,0.3
Betula pendula,snr,1,0.65
Betula pendula,snr,2,1
Betula pendula,snr,3,1
Betula pendula,snr,4,0.7
Betula pendula,snr,5,0.4
Betula pendula,snr,6,NA
Betula pubescens,snr,0,0.3
Betula pubescens,snr,1,0.7
Betula pubescens,snr,2,1
Betula pubescens,snr,3,1
Betula pubescens,snr,4,0.6
Betula pubescens,snr,5,0
Betula pubescens,snr,6,NA
Populus tremula,snr,0,NA
Populus tremula,snr,1,0
Populus tremula,snr,2,0.6
Populus tremula,snr,3,1
Populus tremula,snr,4,1
Populus tremula,snr,5,1
Populus tremula,snr,6,0
Populus nigra,snr,0,0
Populus nigra,snr,1,NA
Populus nigra,snr,2,NA
Populus nigra,snr,3,0.6
Populus nigra,snr,4,1
Populus nigra,snr,5,1
Populus nigra,snr,6,0.2
Alnus glutinosa,snr,0,0
Alnus glutinosa,snr,1,NA
Alnus glutinosa,snr,2,NA
Alnus glutinosa,snr,3,0.7
Alnus glutinosa,snr,4,1
Alnus glutinosa,snr,5,1
Alnus glutinosa,snr,6,0.3
Carpinus betulus,snr,0,NA
Carpinus betulus,snr,1,NA
Carpinus betulus,snr,2,0.7
Carpinus betulus,snr,3,1
Carpinus betulus,snr,4,1
Carpinus betulus,snr,5,1
Carpinus betulus,snr,6,0.7
Tilia cordata,snr,0,NA
Tilia cordata,snr,1,0
Tilia cordata,snr,2,0.5
Tilia cordata,snr,3,0.75
Tilia cordata,snr,4,1.1
Tilia cordata,snr,5,1
Tilia cordata,snr,6,0.3
Acer platanoides,snr,0,NA
Acer platanoides,snr,1,NA
Acer platanoides,snr,2,0.6
Acer platanoides,snr,3,1
Acer platanoides,snr,4,1
Acer platanoides,snr,5,1
Acer platanoides,snr,6,1
Prunus avium,snr,0,NA
Prunus avium,snr,1,NA
Prunus avium,snr,2,0.55
Prunus avium,snr,3,0.85
Prunus avium,snr,4,1
Prunus avium,snr,5,1
Prunus avium,snr,6,1
Nothofagus procera,snr,0,NA
Nothofagus procera,snr,1,NA
Nothofagus procera,snr,2,0.65
Nothofagus procera,snr,3,1
Nothofagus procera,snr,4,1
Nothofagus procera,snr,5,0.65
Nothofagus procera,snr,6,NA
Pinus pinaster,snr,0,0.3
Pinus pinaster,snr,1,0.6
Pinus pinaster,snr,2,1
Pinus pinaster,snr,3,1.1
Pinus pinaster,snr,4,0.7
Pinus pinaster,snr,5,0.3
Pinus pinaster,snr,6,0
Pinus radiata,snr,0,0.2
Pinus radiata,snr,1,0.5
Pinus radiata,snr,2,0.9
Pinus radiata,snr,3,1
Pinus radiata,snr,4,1
Pinus radiata,snr,5,0.6
Pinus radiata,snr,6,0
Pinus strobus,snr,0,0
Pinus strobus,snr,1,0.3
Pinus strobus,snr,2,0.6
Pinus strobus,snr,3,1.1
Pinus strobus,snr,4,1
Pinus strobus,snr,5,0.6
Pinus strobus,snr,6,NA
Picea omorika,snr,0,0
Picea omorika,snr,1,0.3
Picea omorika,snr,2,0.6
Picea omorika,snr,3,0.9
Picea omorika,snr,4,1
Picea omorika,snr,5,1
Picea omorika,snr,6,0.7
Picea orientalis,snr,0,NA
Picea orientalis,snr,1,NA
Picea orientalis,snr,2,0.6
Picea orientalis,snr,3,1
Picea orientalis,snr,4,1
Picea orientalis,snr,5,0.6
Picea orientalis,snr,6,NA
Abies grandis,snr,0,NA
Abies grandis,snr,1,0
Abies grandis,snr,2,0.7
Abies grandis,snr,3,1.1
Abies grandis,snr,4,1.25
Abies grandis,snr,5,1
Abies grandis,snr,6,0
Abies alba,snr,0,NA
Abies alba,snr,1,0.2
Abies alba,snr,2,0.7
Abies alba,snr,3,1
Abies alba,snr,4,1.1
Abies alba,snr,5,1
Abies alba,snr,6,0.7
Abies nordmanniana,snr,0,NA
Abies nordmanniana,snr,1,0.25
Abies nordmanniana,snr,2,0.6
Abies nordmanniana,snr,3,1
Abies nordmanniana,snr,4,1.1
Abies nordmanniana,snr,5,1
Abies nordmanniana,snr,6,0.65
Sequoiadendron giganteum,snr,0,NA
Sequoiadendron giganteum,snr,1,NA
Sequoiadendron giganteum,snr,2,0.4
Sequoiadendron giganteum,snr,3,1
Sequoiadendron giganteum,snr,4,1.1
Sequoiadendron giganteum,snr,5,0.65
Sequoiadendron giganteum,snr,6,NA
Cryptomeria japonica,snr,0,NA
Cryptomeria japonica,snr,1,NA
Cryptomeria japonica,snr,2,0.65
Cryptomeria japonica,snr,3,1.1
Cryptomeria japonica,snr,4,1.1
Cryptomeria japonica,snr,5,0.65
Cryptomeria japonica,snr,6,NA
Chamaecyparis lawsoniana,snr,0,0
Chamaecyparis lawsoniana,snr,1,0.3
Chamaecyparis lawsoniana,snr,2,0.6
Chamaecyparis lawsoniana,snr,3,1
Chamaecyparis lawsoniana,snr,4,1.21
Chamaecyparis lawsoniana,snr,5,1
Chamaecyparis lawsoniana,snr,6,0
Cupressocyparis x leyandii,snr,0,NA
Cupressocyparis x leyandii,snr,1,NA
Cupressocyparis x leyandii,snr,2,0.7
Cupressocyparis x leyandii,snr,3,1
Cupressocyparis x leyandii,snr,4,1.2
Cupressocyparis x leyandii,snr,5,1
Cupressocyparis x leyandii,snr,6,0.7
Sequoia sempervirens C,snr,0,NA
Sequoia sempervirens C,snr,1,0
Sequoia sempervirens C,snr,2,0.65
Sequoia sempervirens C,snr,3,1.05
Sequoia sempervirens C,snr,4,1.1
Sequoia sempervirens C,snr,5,1.1
Sequoia sempervirens C,snr,6,0
Alnus rubra,snr,0,NA
Alnus rubra,snr,1,0
Alnus rubra,snr,2,0.85
Alnus rubra,snr,3,1.1
Alnus rubra,snr,4,1.1
Alnus rubra,snr,5,0.6
Alnus rubra,snr,6,NA
Alnus cordata,snr,0,0
Alnus cordata,snr,1,0.6
Alnus cordata,snr,2,1.05
Alnus cordata,snr,3,1.1
Alnus cordata,snr,4,1.2
Alnus cordata,snr,5,1
Alnus cordata,snr,6,0.6
Alnus incana,snr,0,0.3
Alnus incana,snr,1,0.65
Alnus incana,snr,2,1
Alnus incana,snr,3,1.1
Alnus incana,snr,4,1.1
Alnus incana,snr,5,1
Alnus incana,snr,6,0.6
Eucalyptus gunnii,snr,0,0
Eucalyptus gunnii,snr,1,0.5
Eucalyptus gunnii,snr,2,0.8
Eucalyptus gunnii,snr,3,1
Eucalyptus gunnii,snr,4,1.1
Eucalyptus gunnii,snr,5,0.65
Eucalyptus gunnii,snr,6,NA
Euclayptus nitens,snr,0,NA
Euclayptus nitens,snr,1,0.5
Euclayptus nitens,snr,2,1
Euclayptus nitens,snr,3,1
Euclayptus nitens,snr,4,0.65
Euclayptus nitens,snr,5,NA
Euclayptus nitens,snr,6,NA
Nothofagus obliqua,snr,0,NA
Nothofagus obliqua,snr,1,NA
Nothofagus obliqua,snr,2,0.7
Nothofagus obliqua,snr,3,1.1
Nothofagus obliqua,snr,4,1.1
Nothofagus obliqua,snr,5,0.65
Nothofagus obliqua,snr,6,0
Quercus rubra,snr,0,NA
Quercus rubra,snr,1,0.2
Quercus rubra,snr,2,0.6
Quercus rubra,snr,3,1
Quercus rubra,snr,4,1.1
Quercus rubra,snr,5,0.7
Quercus rubra,snr,6,0
Acer macrophyllum,snr,0,0
Acer macrophyllum,snr,1,0.3
Acer macrophyllum,snr,2,0.65
Acer macrophyllum,snr,3,1
Acer macrophyllum,snr,4,1.1
Acer macrophyllum,snr,5,0.65
Acer macrophyllum,snr,6,NA
Sorbus aucuparia,snr,0,0.3
Sorbus aucuparia,snr,1,0.5
Sorbus aucuparia,snr,2,0.8
Sorbus aucuparia,snr,3,1
Sorbus aucuparia,snr,4,1.1
Sorbus aucuparia,snr,5,0.8
Sorbus aucuparia,snr,6,0.4
Sorbus torminalis,snr,0,NA
Sorbus torminalis,snr,1,0.2
Sorbus torminalis,snr,2,0.7
Sorbus torminalis,snr,3,1.1
Sorbus torminalis,snr,4,1.1
Sorbus torminalis,snr,5,1
Sorbus torminalis,snr,6,0.65
Sorbus domestica,snr,0,NA
Sorbus domestica,snr,1,NA
Sorbus domestica,snr,2,0.65
Sorbus domestica,snr,3,1.1
Sorbus domestica,snr,4,1.1
Sorbus domestica,snr,5,0.7
Sorbus domestica,snr,6,0.4
Juglans regia,snr,0,NA
Juglans regia,snr,1,NA
Juglans regia,snr,2,NA
Juglans regia,snr,3,0.65
Juglans regia,snr,4,1.1
Juglans regia,snr,5,1
Juglans regia,snr,6,0
Juglans nigra,snr,0,NA
Juglans nigra,snr,1,NA
Juglans nigra,snr,2,0.5
Juglans nigra,snr,3,1.05
Juglans nigra,snr,4,1.1
Juglans nigra,snr,5,0.65
Juglans nigra,snr,6,0.4
